unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,road_ramp,due_date,vehicle_type,taxi_company_borough
51924963,2021-09-21T04:07:57Z,2021-09-21T04:19:10Z,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025,2612 BROADWAY,BROADWAY,WEST   98 STREET,WEST   99 STREET,WEST   98 STREET,WEST   99 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T08:19:16Z,07 MANHATTAN,1018700045,MANHATTAN,992408,229409,ONLINE,Unspecified,MANHATTAN,40.79634697983548,-73.97053598278849,40.79634697983548,-73.97053598278849,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924972,2021-09-21T04:31:41Z,2021-09-21T04:56:21Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,402 EAST  105 STREET,EAST  105 STREET,1 AVENUE,FRANKLIN D ROOSEVELT DRIVE,1 AVENUE,FRANKLIN D ROOSEVELT DRIVE,ADDRESS,NEW YORK,EAST  105 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T08:56:24Z,11 MANHATTAN,1016960001,MANHATTAN,1000816,226655,MOBILE,Unspecified,MANHATTAN,40.78877623225547,-73.94017584766306,40.78877623225547,-73.94017584766306,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924974,2021-09-21T04:01:34Z,2021-09-21T04:58:18Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11205,101 NORTH PORTLAND AVENUE,NORTH PORTLAND AVENUE,PARK AVENUE,AUBURN PLACE,PARK AVENUE,AUBURN PLACE,ADDRESS,BROOKLYN,NORTH PORTLAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T08:58:22Z,02 BROOKLYN,3020410001,BROOKLYN,990899,192201,ONLINE,Unspecified,BROOKLYN,40.694221621019814,-73.97602277848499,40.694221621019814,-73.97602277848499,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925016,2021-09-21T04:52:34Z,2021-09-21T13:08:35Z,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10474,769 BRYANT AVENUE,BRYANT AVENUE,SPOFFORD AVENUE,LAFAYETTE AVENUE,SPOFFORD AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,BRYANT AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2021-09-21T04:52:34Z,02 BRONX,2027630220,BRONX,1015820,236609,PHONE,Unspecified,BRONX,40.81605634886035,-73.88594572851363,40.81605634886035,-73.88594572851363,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925020,2021-09-21T04:06:57Z,2021-09-21T04:49:28Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,107-45 UNION HALL STREET,UNION HALL STREET,107 AVENUE,108 AVENUE,107 AVENUE,108 AVENUE,ADDRESS,JAMAICA,UNION HALL STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T08:49:34Z,12 QUEENS,4101400040,QUEENS,1041713,193291,MOBILE,Unspecified,QUEENS,40.69702935366028,-73.79277148865633,40.69702935366028,-73.79277148865633,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925022,2021-09-21T04:59:52Z,2021-09-21T06:01:28Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,60-91 70 AVENUE,70 AVENUE,60 LANE,FRESH POND ROAD,60 LANE,FRESH POND ROAD,ADDRESS,RIDGEWOOD,70 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2021-09-21T10:01:30Z,05 QUEENS,4035360031,QUEENS,1013169,195218,MOBILE,Unspecified,QUEENS,40.70245782546473,-73.89570114447247,40.70245782546473,-73.89570114447247,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925048,2021-09-21T04:24:37Z,2021-09-21T04:56:53Z,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,402 EAST  105 STREET,EAST  105 STREET,1 AVENUE,FRANKLIN D ROOSEVELT DRIVE,1 AVENUE,FRANKLIN D ROOSEVELT DRIVE,ADDRESS,NEW YORK,EAST  105 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T08:57:02Z,11 MANHATTAN,1016960001,MANHATTAN,1000816,226655,MOBILE,Unspecified,MANHATTAN,40.78877623225547,-73.94017584766306,40.78877623225547,-73.94017584766306,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925099,2021-09-21T05:40:36Z,2021-09-21T05:54:23Z,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,60 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  152 STREET,WEST  153 STREET,WEST  152 STREET,WEST  153 STREET,ADDRESS,NEW YORK,ST NICHOLAS PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T09:54:25Z,09 MANHATTAN,NA,MANHATTAN,1000539,241304,ONLINE,Unspecified,MANHATTAN,40.82898418514481,-73.94114062058742,40.82898418514481,-73.94114062058742,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925152,2021-09-21T05:21:40Z,2021-09-21T08:19:26Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11207,74 ARLINGTON AVENUE,ARLINGTON AVENUE,VAN SICLEN AVENUE,HENDRIX STREET,VAN SICLEN AVENUE,HENDRIX STREET,ADDRESS,BROOKLYN,ARLINGTON AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T12:19:33Z,05 BROOKLYN,3039330016,BROOKLYN,1014211,186947,ONLINE,Unspecified,BROOKLYN,40.679752388235904,-73.89197987058503,40.679752388235904,-73.89197987058503,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925163,2021-09-21T06:02:52Z,2021-09-21T06:32:38Z,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10035,1940 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST  119 STREET,YOLANDA SANCHEZ PLACE,EAST  119 STREET,YOLANDA SANCHEZ PLACE,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T10:32:41Z,11 MANHATTAN,1017680012,MANHATTAN,1000873,231078,ONLINE,Unspecified,MANHATTAN,40.80091605951216,-73.93995905788923,40.80091605951216,-73.93995905788923,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925167,2021-09-21T06:01:57Z,2021-09-21T06:14:59Z,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10039,300 WEST  151 STREET,WEST  151 STREET,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,FREDERICK DOUGLASS BOULEVARD,BRADHURST AVENUE,ADDRESS,NEW YORK,WEST  151 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T10:15:06Z,10 MANHATTAN,1020460015,MANHATTAN,1001048,240465,ONLINE,Unspecified,MANHATTAN,40.82668041683622,-73.93930347914457,40.82668041683622,-73.93930347914457,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925205,2021-09-21T05:44:22Z,2021-09-21T06:19:11Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,23-23 MOTT AVENUE,MOTT AVENUE,EGGERT PLACE,DICKENS STREET,EGGERT PLACE,DICKENS STREET,ADDRESS,FAR ROCKAWAY,MOTT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T10:19:15Z,14 QUEENS,4157160041,QUEENS,1050893,160245,ONLINE,Unspecified,QUEENS,40.60626125544895,-73.75999238087692,40.60626125544895,-73.75999238087692,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925206,2021-09-21T05:35:51Z,2021-09-21T06:19:44Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,845 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  100 STREET,WEST  103 STREET,WEST  100 STREET,WEST  103 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T10:19:46Z,07 MANHATTAN,1018360001,MANHATTAN,994139,229740,ONLINE,Unspecified,MANHATTAN,40.797253717217195,-73.96428369238758,40.797253717217195,-73.96428369238758,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925207,2021-09-21T05:29:01Z,2021-09-21T06:35:09Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,115-25 121 STREET,121 STREET,115 AVENUE,HAWTREE CREEK ROAD,115 AVENUE,HAWTREE CREEK ROAD,ADDRESS,SOUTH OZONE PARK,121 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T10:35:14Z,10 QUEENS,4116650056,QUEENS,1034848,185964,MOBILE,Unspecified,QUEENS,40.676960375173564,-73.81758365021332,40.676960375173564,-73.81758365021332,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925208,2021-09-21T05:41:28Z,2021-09-21T06:17:00Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2021-09-21T10:17:09Z,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,40.8315271048226,-73.92886303221528,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925212,2021-09-21T04:06:16Z,NA,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11206,29 TEN EYCK STREET,TEN EYCK STREET,UNION AVENUE,LORIMER STREET,UNION AVENUE,LORIMER STREET,ADDRESS,BROOKLYN,TEN EYCK STREET,In Progress,NA,NA,01 BROOKLYN,3027910141,BROOKLYN,998223,197823,PHONE,Unspecified,BROOKLYN,40.70964415778977,-73.94959975235507,40.70964415778977,-73.94959975235507,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925233,2021-09-21T05:23:43Z,2021-09-21T06:11:36Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,291 STANHOPE STREET,STANHOPE STREET,IRVING AVENUE,WYCKOFF AVENUE,IRVING AVENUE,WYCKOFF AVENUE,ADDRESS,BROOKLYN,STANHOPE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T10:11:40Z,04 BROOKLYN,3032590055,BROOKLYN,1006737,195145,ONLINE,Unspecified,BROOKLYN,40.70227614042611,-73.91889893311465,40.70227614042611,-73.91889893311465,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925234,2021-09-21T05:32:39Z,2021-09-21T07:24:45Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,419 MONTAUK AVENUE,MONTAUK AVENUE,DUMONT AVENUE,HEGEMAN AVENUE,DUMONT AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,MONTAUK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T11:24:51Z,05 BROOKLYN,3044560064,BROOKLYN,1018644,182643,ONLINE,Unspecified,BROOKLYN,40.66792277297046,-73.8760193013994,40.66792277297046,-73.8760193013994,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925290,2021-09-21T05:03:41Z,NA,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,11430,JFK AIRPORT,JFK AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,JFK AIRPORT,In Progress,NA,NA,83 QUEENS,4142600001,QUEENS,1043001,175548,ONLINE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,40.64832048620134,-73.78828125130184,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,"JFK AIRPORT, QUEENS (JAMAICA) ,NY, 11430",NA,NA,NA,NA,NA
51925622,2021-09-21T04:46:06Z,2021-09-21T05:42:24Z,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11235,3026 BRIGHTON    3 STREET,BRIGHTON    3 STREET,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,ADDRESS,BROOKLYN,BRIGHTON    3 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T09:42:30Z,13 BROOKLYN,3086720075,BROOKLYN,994070,149949,ONLINE,Unspecified,BROOKLYN,40.578245955649315,-73.96464920035422,40.578245955649315,-73.96464920035422,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925642,2021-09-21T04:30:48Z,2021-09-21T14:11:43Z,DHS,Department of Homeless Services,Homeless Person Assistance,NA,Store/Commercial,10169,230 PARK AVENUE,PARK AVENUE,EAST 45 STREET,EAST 46 STREET,EAST   45 STREET,EAST   46 STREET,ADDRESS,NEW YORK,PARK AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2021-09-21T14:11:43Z,05 MANHATTAN,1013000001,MANHATTAN,990913,214165,MOBILE,Unspecified,MANHATTAN,40.75450745921105,-73.97595054706579,40.75450745921105,-73.97595054706579,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925737,2021-09-21T04:52:21Z,2021-09-21T05:56:22Z,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11429,222-18 100 DRIVE,100 DRIVE,222 STREET,223 STREET,222 STREET,223 STREET,ADDRESS,QUEENS VILLAGE,100 DRIVE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2021-09-21T09:56:29Z,13 QUEENS,4107970015,QUEENS,1058870,199708,PHONE,Unspecified,QUEENS,40.7145143864895,-73.73082752516392,40.7145143864895,-73.73082752516392,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925894,2021-09-21T04:28:07Z,2021-09-21T05:32:48Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10459,1033 REV JAMES A POLITE AVENUE,REV JAMES A POLITE AVENUE,EAST  165 STREET,EAST  166 STREET,EAST  165 STREET,EAST  166 STREET,ADDRESS,BRONX,REV JAMES A POLITE AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2021-09-21T09:32:53Z,02 BRONX,2026910040,BRONX,1012237,239580,ONLINE,Unspecified,BRONX,40.824222978581126,-73.89887778091328,40.824222978581126,-73.89887778091328,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925920,2021-09-21T05:34:17Z,2021-09-21T05:39:18Z,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10456,1385 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T09:39:23Z,03 BRONX,2029010001,BRONX,1010831,244072,PHONE,Unspecified,BRONX,40.83655656640166,-73.9039401169488,40.83655656640166,-73.9039401169488,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925923,2021-09-21T04:20:12Z,2021-09-21T04:53:51Z,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,140 LAWRENCE AVENUE,LAWRENCE AVENUE,SETON PLACE,NEWKIRK AVENUE,SETON PLACE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,LAWRENCE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T08:53:57Z,14 BROOKLYN,3054230014,BROOKLYN,991499,168987,ONLINE,Unspecified,BROOKLYN,40.63050385649642,-73.97388405280167,40.63050385649642,-73.97388405280167,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925936,2021-09-21T04:18:13Z,2021-09-21T04:25:30Z,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10034,694 ACADEMY STREET,ACADEMY STREET,COOPER STREET,SEAMAN AVENUE,COOPER STREET,SEAMAN AVENUE,ADDRESS,NEW YORK,ACADEMY STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2021-09-21T08:25:37Z,12 MANHATTAN,1022370036,MANHATTAN,1004788,255332,ONLINE,Unspecified,MANHATTAN,40.867478033605785,-73.9257441370037,40.867478033605785,-73.9257441370037,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925938,2021-09-21T04:04:28Z,2021-09-21T04:23:35Z,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10018,451 TENTH AVENUE,TENTH AVENUE,WEST   35 STREET,WEST   36 STREET,WEST   35 STREET,WEST   36 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T08:23:41Z,04 MANHATTAN,1007070031,MANHATTAN,984637,214470,MOBILE,Unspecified,MANHATTAN,40.755347108669184,-73.99860314340592,40.755347108669184,-73.99860314340592,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51925939,2021-09-21T04:30:11Z,2021-09-21T04:56:52Z,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,333 EAST  115 STREET,EAST  115 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST  115 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T08:56:57Z,11 MANHATTAN,1016870017,MANHATTAN,1001921,229080,ONLINE,Unspecified,MANHATTAN,40.795430061200555,-73.93617902511467,40.795430061200555,-73.93617902511467,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
